system,qa_accuracy,bleu,rouge1,rouge2,rougeL,bertscore_P,bertscore_R,bertscore_F1
llm,0.0175,0.6087894592865105,0.062352686121068486,0.005202380952380953,0.06201935278773514,0.8769435286521912,0.8674024343490601,0.87195885181427
rag_bm25,0.0025,1.0413909926645015,0.014527147304202468,0.005346038826516975,0.01397727518144032,0.8365732431411743,0.8434241414070129,0.8396881222724915
rag_dense,0.0325,1.5291078039129367,0.049799582618574804,0.022556418956513644,0.0490926185681325,0.8435595631599426,0.8510287404060364,0.847018837928772
rag_hybrid,0.005,1.8586583775396135,0.017356700629943496,0.006072896204475151,0.017256700629943496,0.8396918773651123,0.844287097454071,0.8417195081710815
