system,bleu,rouge1,rouge2,rougeL,bertscore_P,bertscore_R,bertscore_F1
llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.27455028764294764,0.9177613258361816,0.8842592835426331,0.9005131721496582
rag_bm25,9.440945101677997,0.3053778428269026,0.13348000505169408,0.22134556269972577,0.9051904082298279,0.873964786529541,0.8890484571456909
rag_dense,7.401152497144711,0.2907304376749174,0.1159269350156916,0.21134911570261322,0.9042938351631165,0.8713130354881287,0.8871508836746216
rag_hybrid,8.822876042606792,0.3073029435156052,0.13114693511211575,0.22598416495277968,0.9055346846580505,0.8755097389221191,0.889991819858551
